Conteúdo,Título do vídeo,Horário de publicação do vídeo,Duração,Visualizações intencionais,Duração média da visualização,Porcentagem visualizada média (%),Continuaram assistindo (%),Alcance único,Visualizações,Tempo de exibição (horas),Inscritos,Impressões de miniaturas,Taxa de cliques na miniatura (%)
Total,,,,9758,0:00:49,78.13,55.17,13417,19166,136.553,63,4752,2.21
EkEehdHDUJI,O Gigante Porta-Aviões de Gelo da Segunda Guerra Mundial 🧊🚢,"Aug 27, 2026",92,944,0:00:53,58.21,75.22,1165,1472,14.1867,5,268,1.12
RXedNE9W-B4,Derinkuyu: A Cidade Subterrânea de 18 Andares ⛏️🏛️ #viral #curiosidades #historias #fatoscuriosos,"Aug 27, 2026",59,746,0:00:35,60.05,59.82,1149,1324,7.5935,7,199,3.52
 -srsUtPcyIc,O Navio Fantasma Encontrado Sem Nenhuma Alma 🚢👻 #curiosidades #viral #historias #fatoscuriosos,"Aug 27, 2026",56,741,0:01:07,121.39,62.32,1028,1408,14.193,3,191,1.57
9_3ksLOLcT0,O Mecanismo de Anticítera: O Computador de 2.000 Anos ⚙️⏳ #curiosidades #viral #historias #misterios,"Aug 27, 2026",76,739,0:00:50,66.8,66.34,1014,1253,10.5824,5,35,0
LP9AF64aqlM,O Navio Insubmersível Que Evaporou 25 Pessoas! #Shorts,"Aug 24, 2026",53,613,0:00:57,109.35,59.28,966,1207,10.0489,5,66,1.52
Oa95stQOtAM,O Bizarro Experimento do Núcleo do Demônio! #Shorts,"Aug 24, 2026",44,612,0:00:40,91.51,55.49,966,1203,7.0023,5,68,4.41
 -cAmqNPS4yg,A Anomalia Misteriosa do Fundo do Mar Báltico 🌊🛸 #curiosidades #viral #historias #fatoscuriosos,"Aug 27, 2026",58,607,0:00:46,80.06,46.34,1131,1419,8.098,5,72,0
GWZy_ErQE70,A Cidade de Pedra Erguida 11 Mil Anos Antes das Pirâmides 🏛️⏳ #curiosidades #viral #historias,"Aug 27, 2026",62,593,0:00:43,70.79,53.43,1020,1280,7.4868,3,125,0.8
adl0xQ_CaoY,O Som Estranho Que Veio do Fundo do Oceano 🌊🔊 #curiosidades #viral #historias #fatoscuriosos,"Aug 27, 2026",69,587,0:00:38,55.29,44.86,999,1207,6.4212,6,113,4.42
o90BatXXAdM,O Naufrágio e o Mistério do SS Edmund Fitzgerald ⚓🌊 #curiosidades #viral #historias #fatoscuriosos,"Aug 28, 2026",76,571,0:00:41,54.12,60.55,743,971,6.6419,1,172,1.16
_bHMmwHy0cE,O Mistério do Farol de Flannan #Shorts,"Aug 23, 2026",48,522,0:00:44,91.89,49.34,908,1095,6.5832,4,20,0
