Data,Conteúdo,Título do vídeo,Horário de publicação do vídeo,Duração,Visualizações intencionais
2026-08-23, -srsUtPcyIc,O Navio Fantasma Encontrado Sem Nenhuma Alma 🚢👻 #curiosidades #viral #historias #fatoscuriosos,"Aug 27, 2026",56,0
2026-08-24, -srsUtPcyIc,O Navio Fantasma Encontrado Sem Nenhuma Alma 🚢👻 #curiosidades #viral #historias #fatoscuriosos,"Aug 27, 2026",56,0
2026-08-25, -srsUtPcyIc,O Navio Fantasma Encontrado Sem Nenhuma Alma 🚢👻 #curiosidades #viral #historias #fatoscuriosos,"Aug 27, 2026",56,0
2026-08-26, -srsUtPcyIc,O Navio Fantasma Encontrado Sem Nenhuma Alma 🚢👻 #curiosidades #viral #historias #fatoscuriosos,"Aug 27, 2026",56,0
2026-08-27, -srsUtPcyIc,O Navio Fantasma Encontrado Sem Nenhuma Alma 🚢👻 #curiosidades #viral #historias #fatoscuriosos,"Aug 27, 2026",56,578
2026-08-28, -srsUtPcyIc,O Navio Fantasma Encontrado Sem Nenhuma Alma 🚢👻 #curiosidades #viral #historias #fatoscuriosos,"Aug 27, 2026",56,69
2026-08-29, -srsUtPcyIc,O Navio Fantasma Encontrado Sem Nenhuma Alma 🚢👻 #curiosidades #viral #historias #fatoscuriosos,"Aug 27, 2026",56,43
2026-08-30, -srsUtPcyIc,O Navio Fantasma Encontrado Sem Nenhuma Alma 🚢👻 #curiosidades #viral #historias #fatoscuriosos,"Aug 27, 2026",56,51
2026-08-23,9_3ksLOLcT0,O Mecanismo de Anticítera: O Computador de 2.000 Anos ⚙️⏳ #curiosidades #viral #historias #misterios,"Aug 27, 2026",76,0
2026-08-24,9_3ksLOLcT0,O Mecanismo de Anticítera: O Computador de 2.000 Anos ⚙️⏳ #curiosidades #viral #historias #misterios,"Aug 27, 2026",76,0
2026-08-25,9_3ksLOLcT0,O Mecanismo de Anticítera: O Computador de 2.000 Anos ⚙️⏳ #curiosidades #viral #historias #misterios,"Aug 27, 2026",76,0
2026-08-26,9_3ksLOLcT0,O Mecanismo de Anticítera: O Computador de 2.000 Anos ⚙️⏳ #curiosidades #viral #historias #misterios,"Aug 27, 2026",76,0
2026-08-27,9_3ksLOLcT0,O Mecanismo de Anticítera: O Computador de 2.000 Anos ⚙️⏳ #curiosidades #viral #historias #misterios,"Aug 27, 2026",76,91
2026-08-28,9_3ksLOLcT0,O Mecanismo de Anticítera: O Computador de 2.000 Anos ⚙️⏳ #curiosidades #viral #historias #misterios,"Aug 27, 2026",76,508
2026-08-29,9_3ksLOLcT0,O Mecanismo de Anticítera: O Computador de 2.000 Anos ⚙️⏳ #curiosidades #viral #historias #misterios,"Aug 27, 2026",76,132
2026-08-30,9_3ksLOLcT0,O Mecanismo de Anticítera: O Computador de 2.000 Anos ⚙️⏳ #curiosidades #viral #historias #misterios,"Aug 27, 2026",76,8
2026-08-23,EkEehdHDUJI,O Gigante Porta-Aviões de Gelo da Segunda Guerra Mundial 🧊🚢,"Aug 27, 2026",92,0
2026-08-24,EkEehdHDUJI,O Gigante Porta-Aviões de Gelo da Segunda Guerra Mundial 🧊🚢,"Aug 27, 2026",92,0
2026-08-25,EkEehdHDUJI,O Gigante Porta-Aviões de Gelo da Segunda Guerra Mundial 🧊🚢,"Aug 27, 2026",92,0
2026-08-26,EkEehdHDUJI,O Gigante Porta-Aviões de Gelo da Segunda Guerra Mundial 🧊🚢,"Aug 27, 2026",92,0
2026-08-27,EkEehdHDUJI,O Gigante Porta-Aviões de Gelo da Segunda Guerra Mundial 🧊🚢,"Aug 27, 2026",92,822
2026-08-28,EkEehdHDUJI,O Gigante Porta-Aviões de Gelo da Segunda Guerra Mundial 🧊🚢,"Aug 27, 2026",92,82
2026-08-29,EkEehdHDUJI,O Gigante Porta-Aviões de Gelo da Segunda Guerra Mundial 🧊🚢,"Aug 27, 2026",92,23
2026-08-30,EkEehdHDUJI,O Gigante Porta-Aviões de Gelo da Segunda Guerra Mundial 🧊🚢,"Aug 27, 2026",92,17
2026-08-23,LP9AF64aqlM,O Navio Insubmersível Que Evaporou 25 Pessoas! #Shorts,"Aug 24, 2026",53,592
2026-08-24,LP9AF64aqlM,O Navio Insubmersível Que Evaporou 25 Pessoas! #Shorts,"Aug 24, 2026",53,17
2026-08-25,LP9AF64aqlM,O Navio Insubmersível Que Evaporou 25 Pessoas! #Shorts,"Aug 24, 2026",53,2
2026-08-26,LP9AF64aqlM,O Navio Insubmersível Que Evaporou 25 Pessoas! #Shorts,"Aug 24, 2026",53,1
